SR Number,Activities,Change Date+Time
1-727152027,Accepted + In Progress,2012-04-19 17:57:40+01:00
1-727152027,Accepted + In Progress,2012-04-19 17:57:56+01:00
1-727152027,Accepted + Assigned,2012-04-19 18:00:22+01:00
1-727152027,Accepted + In Progress,2012-04-19 18:01:19+01:00
1-727152027,Accepted + Assigned,2012-04-19 18:01:40+01:00
1-727152027,Accepted + In Progress,2012-04-20 08:36:50+01:00
1-727152027,Queued + Awaiting Assignment,2012-04-20 08:37:44+01:00
1-727152027,Accepted + In Progress,2012-04-20 08:38:58+01:00
1-727152027,Accepted + Wait - User,2012-04-20 08:39:23+01:00
1-727152027,Completed + Resolved,2012-04-20 14:01:58+01:00
1-727152027,Completed + Closed,2012-04-21 00:03:52+01:00
1-727152027,Accepted + In Progress,2012-05-01 13:51:24+01:00
1-727152027,Queued + Awaiting Assignment,2012-05-01 13:53:44+01:00
1-727152027,Accepted + In Progress,2012-05-02 07:25:30+01:00
1-727152027,Accepted + Wait - User,2012-05-02 07:26:15+01:00
1-727152027,Accepted + Wait - User,2012-05-02 07:29:19+01:00
1-727152027,Completed + Resolved,2012-05-04 13:16:52+01:00
1-727152027,Completed + Closed,2012-05-05 00:16:29+01:00
1-727155202,Accepted + In Progress,2012-04-19 18:04:05+01:00
1-727155202,Accepted + In Progress,2012-04-19 18:05:13+01:00
1-727155202,Accepted + Wait,2012-04-19 18:11:32+01:00
1-727155202,Queued + Awaiting Assignment,2012-04-20 11:55:46+01:00
1-727155202,Accepted + In Progress,2012-04-23 08:37:03+01:00
1-727155202,Queued + Awaiting Assignment,2012-05-10 10:26:13+01:00
1-727155202,Accepted + In Progress,2012-05-10 11:28:30+01:00
1-727155202,Completed + Resolved,2012-05-10 11:29:07+01:00
1-727155202,Completed + Closed,2012-05-11 00:24:21+01:00
1-727165553,Accepted + In Progress,2012-04-19 20:21:51+01:00
1-727165553,Accepted + In Progress,2012-04-19 20:23:49+01:00
1-727165553,Queued + Awaiting Assignment,2012-04-19 20:29:53+01:00
1-727165553,Accepted + In Progress,2012-04-19 21:48:22+01:00
1-727165553,Queued + Awaiting Assignment,2012-04-19 22:19:00+01:00
1-727165553,Accepted + In Progress,2012-04-19 23:40:49+01:00
1-727165553,Accepted + Wait,2012-04-19 23:40:56+01:00
1-727165553,Queued + Awaiting Assignment,2012-04-23 20:44:05+01:00
1-727165553,Accepted + In Progress,2012-04-23 20:59:50+01:00
1-727165553,Accepted + In Progress,2012-04-25 21:38:10+01:00
1-727165553,Accepted + In Progress,2012-04-25 21:40:03+01:00
1-727165553,Queued + Awaiting Assignment,2012-04-27 21:47:57+01:00
1-727165553,Accepted + In Progress,2012-04-28 01:26:20+01:00
1-727165553,Accepted + Wait,2012-04-28 01:26:29+01:00
1-727165553,Completed + Resolved,2012-05-03 17:41:57+01:00
1-727165553,Completed + Closed,2012-05-04 00:18:30+01:00
1-727176381,Accepted + In Progress,2012-04-20 02:14:46+01:00
1-727176381,Accepted + In Progress,2012-04-20 02:15:08+01:00
1-727176381,Accepted + Wait - User,2012-04-20 02:18:52+01:00
1-727176381,Accepted + In Progress,2012-05-02 11:26:29+01:00
1-727176381,Completed + In Call,2012-05-02 11:26:34+01:00
1-727176381,Accepted + In Progress,2012-05-09 02:14:12+01:00
1-727176381,Queued + Awaiting Assignment,2012-05-09 03:38:32+01:00
1-727176381,Accepted + In Progress,2012-05-09 08:33:05+01:00
1-727176381,Accepted + Wait,2012-05-09 08:33:09+01:00
1-727176381,Queued + Awaiting Assignment,2012-05-09 10:59:23+01:00
1-727176381,Accepted + In Progress,2012-05-09 15:46:48+01:00
1-727176381,Queued + Awaiting Assignment,2012-05-09 15:50:27+01:00
1-727176381,Accepted + In Progress,2012-05-10 01:59:46+01:00
1-727176381,Queued + Awaiting Assignment,2012-05-10 02:00:55+01:00
1-727176381,Accepted + In Progress,2012-05-10 08:18:07+01:00
1-727176381,Accepted + Assigned,2012-05-10 08:19:03+01:00
1-727176381,Accepted + In Progress,2012-05-10 10:03:23+01:00
1-727176381,Accepted + Wait - User,2012-05-10 10:53:41+01:00
1-727176381,Accepted + In Progress,2012-05-14 09:59:03+01:00
1-727176381,Accepted + Wait - User,2012-05-14 10:04:54+01:00
1-727176381,Accepted + In Progress,2012-05-15 07:44:18+01:00
1-727176381,Completed + Resolved,2012-05-15 07:45:58+01:00
1-727176381,Completed + Closed,2012-05-16 00:21:33+01:00
1-727217586,Accepted + In Progress,2012-04-20 01:33:17+01:00
1-727217586,Accepted + In Progress,2012-04-20 01:33:45+01:00
1-727217586,Completed + In Call,2012-04-20 01:35:28+01:00
1-727217586,Accepted + In Progress,2012-05-03 13:37:43+01:00
1-727217586,Completed + Resolved,2012-05-03 13:38:44+01:00
1-727217586,Completed + Closed,2012-05-11 00:24:19+01:00
1-727224498,Accepted + In Progress,2012-04-20 04:09:52+01:00
1-727224498,Accepted + In Progress,2012-04-20 04:10:32+01:00
1-727224498,Accepted + Wait - User,2012-04-20 06:01:23+01:00
1-727224498,Completed + Resolved,2012-04-24 09:37:34+01:00
1-727224498,Accepted + In Progress,2012-04-27 04:24:11+01:00
1-727224498,Queued + Awaiting Assignment,2012-04-27 04:29:32+01:00
1-727224498,Accepted + In Progress,2012-04-27 06:04:57+01:00
1-727224498,Queued + Awaiting Assignment,2012-04-27 06:12:44+01:00
1-727224498,Accepted + In Progress,2012-04-28 02:50:06+01:00
1-727224498,Queued + Awaiting Assignment,2012-04-28 02:50:11+01:00
1-727224498,Accepted + In Progress,2012-05-07 04:15:28+01:00
1-727224498,Queued + Awaiting Assignment,2012-05-07 04:16:17+01:00
1-727224498,Accepted + In Progress,2012-05-07 06:01:13+01:00
1-727224498,Queued + Awaiting Assignment,2012-05-07 06:05:26+01:00
1-727224498,Accepted + In Progress,2012-05-07 06:26:35+01:00
1-727224498,Accepted + Assigned,2012-05-07 06:39:30+01:00
1-727224498,Accepted + In Progress,2012-05-09 11:12:27+01:00
1-727224498,Completed + Resolved,2012-05-09 11:22:07+01:00
1-727224498,Completed + Closed,2012-05-10 00:18:43+01:00
1-728176584,Accepted + In Progress,2012-04-20 07:40:13+01:00
1-728176584,Accepted + In Progress,2012-04-20 07:52:38+01:00
1-728176584,Accepted + In Progress,2012-04-20 07:54:41+01:00
1-728176584,Queued + Awaiting Assignment,2012-04-20 07:55:27+01:00
1-728176584,Accepted + In Progress,2012-04-20 08:31:11+01:00
1-728176584,Queued + Awaiting Assignment,2012-04-20 08:45:03+01:00
1-728176584,Accepted + In Progress,2012-04-20 09:48:39+01:00
1-728176584,Accepted + Wait - User,2012-04-20 10:03:37+01:00
1-728176584,Accepted + Assigned,2012-04-23 08:27:12+01:00
1-728176584,Accepted + In Progress,2012-04-23 09:59:02+01:00
1-728176584,Accepted + Wait - User,2012-04-23 10:01:40+01:00
1-728176584,Accepted + In Progress,2012-04-24 14:15:33+01:00
1-728176584,Accepted + Wait - User,2012-04-24 14:31:37+01:00
1-728176584,Accepted + In Progress,2012-04-27 09:11:49+01:00
1-728176584,Accepted + Wait - User,2012-04-27 09:20:33+01:00
1-728176584,Accepted + In Progress,2012-04-27 15:51:45+01:00
1-728176584,Accepted + Wait - User,2012-04-27 15:51:57+01:00
1-728176584,Accepted + Assigned,2012-05-03 12:56:09+01:00
1-728176584,Accepted + In Progress,2012-05-07 10:28:45+01:00
1-728176584,Completed + Resolved,2012-05-07 10:31:56+01:00
1-728176584,Completed + Closed,2012-05-15 00:22:56+01:00
1-728181260,Accepted + In Progress,2012-04-20 07:26:17+01:00
1-728181260,Accepted + In Progress,2012-04-20 07:26:49+01:00
1-728181260,Queued + Awaiting Assignment,2012-04-20 07:36:52+01:00
1-728181260,Accepted + In Progress,2012-04-21 04:40:46+01:00
1-728181260,Queued + Awaiting Assignment,2012-04-21 04:40:50+01:00
1-728181260,Accepted + In Progress,2012-04-23 09:45:29+01:00
1-728181260,Accepted + Wait - User,2012-04-23 09:50:20+01:00
1-728181260,Accepted + In Progress,2012-04-23 10:42:48+01:00
1-728181260,Accepted + Wait - User,2012-04-23 10:45:06+01:00
1-728181260,Accepted + In Progress,2012-04-23 10:55:02+01:00
1-728181260,Accepted + Wait - User,2012-04-23 11:20:42+01:00
1-728181260,Accepted + In Progress,2012-04-23 11:34:07+01:00
1-728181260,Accepted + In Progress,2012-04-23 12:02:43+01:00
1-728181260,Queued + Awaiting Assignment,2012-04-23 12:02:56+01:00
1-728181260,Accepted + In Progress,2012-04-23 12:06:04+01:00
1-728181260,Accepted + Assigned,2012-04-23 12:25:53+01:00
1-728181260,Accepted + In Progress,2012-04-23 12:40:50+01:00
1-728181260,Accepted + Wait - User,2012-04-23 14:32:33+01:00
1-728181260,Queued + Awaiting Assignment,2012-04-26 15:25:02+01:00
1-728181260,Accepted + In Progress,2012-04-26 15:36:23+01:00
1-728181260,Queued + Awaiting Assignment,2012-04-26 17:58:32+01:00
1-728181260,Accepted + In Progress,2012-04-27 08:34:39+01:00
1-728181260,Accepted + Assigned,2012-04-27 08:35:27+01:00
1-728181260,Accepted + In Progress,2012-04-27 09:35:37+01:00
1-728181260,Queued + Awaiting Assignment,2012-04-27 09:51:33+01:00
1-728181260,Accepted + In Progress,2012-04-27 10:09:31+01:00
1-728181260,Completed + Resolved,2012-05-04 11:52:26+01:00
1-728181260,Completed + Closed,2012-05-12 00:20:01+01:00
1-728186504,Accepted + In Progress,2012-04-20 08:45:57+01:00
1-728186504,Accepted + In Progress,2012-04-20 08:49:07+01:00
1-728186504,Accepted + Wait - Customer,2012-04-20 13:24:28+01:00
1-728186504,Completed + Resolved,2012-04-24 11:17:19+01:00
1-728186504,Completed + Closed,2012-05-02 00:15:21+01:00
1-728186504,Accepted + In Progress,2012-05-07 12:53:50+01:00
1-728186504,Completed + Resolved,2012-05-07 12:54:23+01:00
1-728186504,Completed + Closed,2012-05-15 00:22:55+01:00
1-728186672,Accepted + In Progress,2012-04-20 07:31:52+01:00
1-728186672,Accepted + In Progress,2012-04-20 07:33:02+01:00
1-728186672,Queued + Awaiting Assignment,2012-04-20 07:35:11+01:00
1-728186672,Accepted + In Progress,2012-04-20 07:36:03+01:00
1-728186672,Queued + Awaiting Assignment,2012-04-20 07:38:35+01:00
1-728186672,Queued + Awaiting Assignment,2012-04-20 07:38:36+01:00
1-728186672,Accepted + In Progress,2012-04-20 07:40:05+01:00
1-728186672,Queued + Awaiting Assignment,2012-04-20 07:41:29+01:00
1-728186672,Accepted + In Progress,2012-04-20 07:43:09+01:00
1-728186672,Queued + Awaiting Assignment,2012-04-20 07:43:49+01:00
1-728186672,Accepted + In Progress,2012-04-20 07:44:53+01:00
1-728186672,Completed + Resolved,2012-04-20 07:45:43+01:00
1-728186672,Accepted + In Progress,2012-04-20 07:56:08+01:00
1-728186672,Queued + Awaiting Assignment,2012-04-20 07:56:34+01:00
1-728186672,Accepted + In Progress,2012-04-20 07:58:24+01:00
1-728186672,Queued + Awaiting Assignment,2012-04-20 07:58:57+01:00
1-728186672,Accepted + In Progress,2012-04-20 08:16:36+01:00
1-728186672,Queued + Awaiting Assignment,2012-04-20 08:22:30+01:00
1-728186672,Queued + Awaiting Assignment,2012-04-20 08:22:31+01:00
1-728186672,Accepted + In Progress,2012-04-20 13:48:27+01:00
1-728186672,Queued + Awaiting Assignment,2012-04-20 13:50:49+01:00
1-728186672,Accepted + In Progress,2012-04-20 15:14:00+01:00
1-728186672,Queued + Awaiting Assignment,2012-04-20 15:21:03+01:00
1-728186672,Accepted + In Progress,2012-04-20 15:25:24+01:00
1-728186672,Queued + Awaiting Assignment,2012-04-20 15:30:25+01:00
1-728186672,Accepted + In Progress,2012-04-20 15:42:49+01:00
1-728186672,Accepted + Wait - User,2012-04-20 15:43:16+01:00
1-728186672,Queued + Awaiting Assignment,2012-04-20 15:55:23+01:00
1-728186672,Accepted + In Progress,2012-04-20 15:56:42+01:00
1-728186672,Accepted + Wait - User,2012-04-20 15:57:24+01:00
1-728186672,Queued + Awaiting Assignment,2012-04-23 07:15:59+01:00
1-728186672,Accepted + In Progress,2012-04-23 07:25:53+01:00
1-728186672,Queued + Awaiting Assignment,2012-04-23 07:26:17+01:00
1-728186672,Accepted + In Progress,2012-04-23 07:33:06+01:00
1-728186672,Queued + Awaiting Assignment,2012-04-23 07:34:53+01:00
1-728186672,Accepted + In Progress,2012-04-23 10:22:39+01:00
1-728186672,Queued + Awaiting Assignment,2012-04-23 16:09:03+01:00
1-728186672,Accepted + In Progress,2012-04-23 16:35:51+01:00
1-728186672,Queued + Awaiting Assignment,2012-04-23 16:38:17+01:00
1-728186672,Accepted + In Progress,2012-04-25 10:51:33+01:00
1-728186672,Queued + Awaiting Assignment,2012-04-25 10:58:58+01:00
1-728186672,Queued + Awaiting Assignment,2012-04-25 10:58:59+01:00
1-728186672,Accepted + In Progress,2012-04-25 11:07:48+01:00
1-728186672,Queued + Awaiting Assignment,2012-04-25 11:13:38+01:00
1-728186672,Accepted + In Progress,2012-04-25 11:30:05+01:00
1-728186672,Queued + Awaiting Assignment,2012-04-25 11:31:40+01:00
1-728186672,Accepted + In Progress,2012-04-25 12:21:26+01:00
1-728186672,Accepted + Assigned,2012-04-25 12:21:45+01:00
1-728186672,Accepted + In Progress,2012-04-25 14:09:41+01:00
1-728186672,Accepted + Wait - User,2012-04-25 14:11:29+01:00
1-728186672,Accepted + Wait - User,2012-04-28 11:13:40+01:00
1-728186672,Completed + Resolved,2012-05-14 15:31:54+01:00
1-728186672,Completed + Closed,2012-05-22 00:24:31+01:00
1-728236947,Accepted + In Progress,2012-04-20 08:42:55+01:00
1-728236947,Accepted + In Progress,2012-04-20 08:43:07+01:00
1-728236947,Queued + Awaiting Assignment,2012-04-20 08:54:48+01:00
1-728236947,Accepted + In Progress,2012-04-20 15:08:50+01:00
1-728236947,Queued + Awaiting Assignment,2012-04-20 15:18:30+01:00
1-728236947,Accepted + In Progress,2012-04-23 16:31:28+01:00
1-728236947,Accepted + Wait,2012-04-23 16:31:32+01:00
1-728236947,Queued + Awaiting Assignment,2012-04-24 09:51:12+01:00
1-728236947,Accepted + In Progress,2012-04-24 10:33:56+01:00
1-728236947,Accepted + Wait - User,2012-04-24 10:34:50+01:00
1-728236947,Accepted + Wait - User,2012-04-27 08:44:42+01:00
1-728236947,Accepted + Wait - User,2012-04-27 08:55:43+01:00
1-728236947,Accepted + Wait - User,2012-05-04 08:55:45+01:00
1-728236947,Queued + Awaiting Assignment,2012-05-04 08:58:56+01:00
1-728236947,Accepted + In Progress,2012-05-04 13:13:41+01:00
1-728236947,Queued + Awaiting Assignment,2012-05-04 13:14:55+01:00
1-728236947,Accepted + In Progress,2012-05-04 13:19:00+01:00
1-728236947,Queued + Awaiting Assignment,2012-05-04 13:51:27+01:00
1-728236947,Accepted + In Progress,2012-05-04 13:58:06+01:00
1-728236947,Accepted + Assigned,2012-05-04 13:58:15+01:00
1-728236947,Accepted + In Progress,2012-05-04 14:19:19+01:00
1-728236947,Accepted + Wait - User,2012-05-04 14:20:05+01:00
1-728236947,Accepted + Wait - User,2012-05-07 08:55:45+01:00
1-728236947,Accepted + Wait - User,2012-05-07 10:18:40+01:00
1-728236947,Queued + Awaiting Assignment,2012-05-10 16:20:11+01:00
1-728236947,Accepted + In Progress,2012-05-10 17:11:30+01:00
1-728236947,Queued + Awaiting Assignment,2012-05-10 17:26:50+01:00
1-728236947,Accepted + In Progress,2012-05-10 17:31:06+01:00
1-728236947,Accepted + Wait - User,2012-05-10 17:33:30+01:00
1-728236947,Queued + Awaiting Assignment,2012-05-11 11:03:10+01:00
1-728236947,Queued + Awaiting Assignment,2012-05-11 11:03:11+01:00
1-728236947,Accepted + In Progress,2012-05-11 11:07:10+01:00
1-728236947,Queued + Awaiting Assignment,2012-05-11 11:11:17+01:00
1-728236947,Accepted + In Progress,2012-05-11 14:44:18+01:00
1-728236947,Queued + Awaiting Assignment,2012-05-11 14:50:31+01:00
1-728236947,Queued + Awaiting Assignment,2012-05-14 10:18:42+01:00
1-728236947,Accepted + In Progress,2012-05-14 13:55:49+01:00
1-728236947,Queued + Awaiting Assignment,2012-05-14 14:00:53+01:00
1-728236947,Accepted + In Progress,2012-05-14 14:50:56+01:00
1-728236947,Queued + Awaiting Assignment,2012-05-14 14:53:02+01:00
1-728236947,Accepted + In Progress,2012-05-14 14:57:29+01:00
1-728236947,Accepted + Assigned,2012-05-14 14:57:52+01:00
1-728236947,Accepted + In Progress,2012-05-14 14:58:44+01:00
1-728236947,Accepted + Wait - User,2012-05-14 14:59:28+01:00
1-728236947,Accepted + Wait - User,2012-05-14 14:59:29+01:00
1-728236947,Queued + Awaiting Assignment,2012-05-15 09:47:32+01:00
1-728236947,Accepted + In Progress,2012-05-15 11:59:56+01:00
1-728236947,Queued + Awaiting Assignment,2012-05-15 12:05:11+01:00
1-728236947,Accepted + In Progress,2012-05-15 13:15:22+01:00
1-728236947,Accepted + Assigned,2012-05-15 13:15:46+01:00
1-728236947,Accepted + In Progress,2012-05-15 13:16:04+01:00
1-728236947,Completed + Resolved,2012-05-15 13:22:32+01:00
1-728236947,Completed + Closed,2012-05-16 00:21:32+01:00
1-728245797,Accepted + In Progress,2012-04-20 09:26:46+01:00
1-728245797,Accepted + In Progress,2012-04-20 09:27:23+01:00
1-728245797,Queued + Awaiting Assignment,2012-04-23 14:17:16+01:00
1-728245797,Accepted + In Progress,2012-04-23 14:17:28+01:00
1-728245797,Accepted + In Progress,2012-04-23 14:17:31+01:00
1-728245797,Queued + Awaiting Assignment,2012-04-23 14:23:09+01:00
1-728245797,Accepted + In Progress,2012-04-24 14:55:09+01:00
1-728245797,Accepted + Wait - Implementation,2012-04-24 14:55:15+01:00
1-728245797,Accepted + In Progress,2012-05-09 15:16:05+01:00
1-728245797,Accepted + Wait - Implementation,2012-05-09 16:15:03+01:00
1-728245797,Completed + Resolved,2012-05-10 10:13:28+01:00
1-728245797,Completed + Closed,2012-05-11 00:24:12+01:00
1-728256681,Accepted + In Progress,2012-04-20 09:23:40+01:00
1-728256681,Accepted + In Progress,2012-04-20 09:24:24+01:00
1-728256681,Queued + Awaiting Assignment,2012-04-20 09:29:16+01:00
1-728256681,Accepted + In Progress,2012-04-21 00:30:33+01:00
1-728256681,Queued + Awaiting Assignment,2012-04-21 00:30:45+01:00
1-728256681,Accepted + In Progress,2012-04-26 10:58:16+01:00
1-728256681,Accepted + Assigned,2012-04-26 10:58:25+01:00
1-728256681,Accepted + In Progress,2012-04-26 11:07:37+01:00
1-728256681,Completed + Resolved,2012-04-26 12:44:16+01:00
1-728256681,Queued + Awaiting Assignment,2012-05-03 08:46:00+01:00
1-728256681,Accepted + In Progress,2012-05-03 09:20:15+01:00
1-728256681,Queued + Awaiting Assignment,2012-05-03 09:26:06+01:00
1-728256681,Accepted + In Progress,2012-05-03 10:37:56+01:00
1-728256681,Queued + Awaiting Assignment,2012-05-03 10:38:42+01:00
1-728256681,Accepted + In Progress,2012-05-09 10:10:25+01:00
1-728256681,Accepted + Wait - Implementation,2012-05-09 11:54:24+01:00
1-728256681,Completed + Resolved,2012-05-14 14:48:58+01:00
1-728256681,Completed + Closed,2012-05-22 00:24:30+01:00
1-728261550,Accepted + In Progress,2012-04-20 09:29:22+01:00
1-728261550,Accepted + In Progress,2012-04-20 09:29:42+01:00
1-728261550,Accepted + In Progress,2012-04-20 09:33:00+01:00
1-728261550,Queued + Awaiting Assignment,2012-04-20 09:35:38+01:00
1-728261550,Queued + Awaiting Assignment,2012-04-20 09:35:39+01:00
1-728261550,Accepted + In Progress,2012-04-20 11:49:04+01:00
1-728261550,Accepted + Wait - Implementation,2012-04-20 11:49:09+01:00
1-728261550,Accepted + Assigned,2012-05-09 16:11:14+01:00
1-728261550,Accepted + In Progress,2012-05-10 14:00:16+01:00
1-728261550,Completed + Resolved,2012-05-10 14:01:12+01:00
1-728261550,Completed + Closed,2012-05-11 00:24:12+01:00
1-728261720,Accepted + In Progress,2012-04-20 09:35:42+01:00
1-728261720,Accepted + In Progress,2012-04-20 09:36:38+01:00
1-728261720,Queued + Awaiting Assignment,2012-04-20 09:37:13+01:00
1-728261720,Accepted + In Progress,2012-04-20 10:36:41+01:00
1-728261720,Accepted + Wait - User,2012-04-20 10:39:00+01:00
1-728261720,Completed + Resolved,2012-05-02 07:34:17+01:00
1-728261720,Completed + Closed,2012-05-03 00:17:29+01:00
1-728268983,Accepted + In Progress,2012-04-20 08:55:58+01:00
1-728268983,Accepted + In Progress,2012-04-20 08:57:28+01:00
1-728268983,Queued + Awaiting Assignment,2012-04-20 08:59:41+01:00
1-728268983,Accepted + In Progress,2012-04-20 12:17:32+01:00
1-728268983,Accepted + Wait - Implementation,2012-04-23 14:44:49+01:00
1-728268983,Completed + Resolved,2012-05-03 16:42:30+01:00
1-728268983,Completed + Closed,2012-05-04 00:18:25+01:00
1-728269093,Accepted + In Progress,2012-04-20 08:48:55+01:00
1-728269093,Accepted + In Progress,2012-04-20 08:49:36+01:00
1-728269093,Accepted + In Progress,2012-04-20 09:33:17+01:00
1-728269093,Queued + Awaiting Assignment,2012-04-20 09:37:38+01:00
1-728269093,Accepted + In Progress,2012-04-21 02:32:17+01:00
1-728269093,Queued + Awaiting Assignment,2012-04-21 02:32:29+01:00
1-728269093,Accepted + In Progress,2012-04-26 10:45:10+01:00
1-728269093,Accepted + Assigned,2012-04-26 10:45:15+01:00
1-728269093,Accepted + In Progress,2012-04-27 14:43:58+01:00
1-728269093,Accepted + Wait - User,2012-04-27 14:52:55+01:00
1-728269093,Accepted + In Progress,2012-05-04 08:44:01+01:00
1-728269093,Accepted + Wait - User,2012-05-04 11:20:31+01:00
1-728269093,Queued + Awaiting Assignment,2012-05-04 13:05:13+01:00
1-728269093,Accepted + In Progress,2012-05-04 13:24:53+01:00
1-728269093,Accepted + Assigned,2012-05-04 13:32:40+01:00
1-728269093,Accepted + In Progress,2012-05-04 13:41:53+01:00
1-728269093,Accepted + Wait - User,2012-05-04 13:42:25+01:00
1-728269093,Completed + Resolved,2012-05-14 12:33:52+01:00
1-728269093,Completed + Closed,2012-05-15 00:22:55+01:00
1-728288484,Accepted + In Progress,2012-04-20 09:28:11+01:00
1-728288484,Accepted + In Progress,2012-04-20 09:29:46+01:00
1-728288484,Queued + Awaiting Assignment,2012-04-20 09:31:43+01:00
1-728288484,Accepted + In Progress,2012-04-20 09:52:16+01:00
1-728288484,Accepted + Assigned,2012-04-20 10:43:55+01:00
1-728288484,Accepted + In Progress,2012-04-20 11:18:19+01:00
1-728288484,Accepted + Wait,2012-04-23 09:17:54+01:00
1-728288484,Accepted + Wait - Implementation,2012-04-26 07:49:39+01:00
1-728288484,Completed + Resolved,2012-05-14 10:47:51+01:00
1-728288484,Completed + Closed,2012-05-15 00:22:54+01:00
1-728290131,Accepted + In Progress,2012-04-20 09:14:14+01:00
1-728290131,Accepted + In Progress,2012-04-20 09:14:34+01:00
1-728290131,Queued + Awaiting Assignment,2012-04-20 09:23:31+01:00
1-728290131,Accepted + In Progress,2012-04-20 09:23:32+01:00
1-728290131,Accepted + Assigned,2012-04-20 09:23:48+01:00
1-728290131,Accepted + In Progress,2012-04-20 10:33:59+01:00
1-728290131,Accepted + Wait - User,2012-04-25 14:23:56+01:00
1-728290131,Accepted + In Progress,2012-05-02 15:56:57+01:00
1-728290131,Completed + Resolved,2012-05-02 15:57:12+01:00
1-728290131,Completed + Closed,2012-05-10 00:18:42+01:00
1-728290611,Accepted + In Progress,2012-04-20 09:44:21+01:00
1-728290611,Accepted + In Progress,2012-04-20 09:46:36+01:00
1-728290611,Completed + Resolved,2012-04-20 09:51:30+01:00
1-728290611,Accepted + In Progress,2012-04-20 12:32:41+01:00
1-728290611,Queued + Awaiting Assignment,2012-04-20 12:34:14+01:00
1-728290611,Accepted + In Progress,2012-04-20 12:40:46+01:00
1-728290611,Accepted + Assigned,2012-04-20 12:41:01+01:00
1-728290611,Accepted + In Progress,2012-04-20 13:01:45+01:00
1-728290611,Accepted + Assigned,2012-04-20 13:01:54+01:00
1-728290611,Accepted + In Progress,2012-04-20 13:21:27+01:00
1-728290611,Accepted + Wait - User,2012-04-20 13:25:35+01:00
1-728290611,Completed + Resolved,2012-05-07 07:17:11+01:00
1-728290611,Completed + Closed,2012-05-15 00:22:54+01:00
1-728292674,Queued + Awaiting Assignment,2012-04-20 10:49:05+01:00
1-728292674,Accepted + In Progress,2012-04-20 10:49:24+01:00
1-728292674,Queued + Awaiting Assignment,2012-04-20 10:49:58+01:00
1-728292674,Accepted + In Progress,2012-04-20 11:11:16+01:00
1-728292674,Queued + Awaiting Assignment,2012-04-20 13:46:26+01:00
1-728292674,Queued + Awaiting Assignment,2012-04-20 13:46:27+01:00
1-728292674,Accepted + In Progress,2012-04-20 15:15:08+01:00
1-728292674,Queued + Awaiting Assignment,2012-04-20 15:16:34+01:00
1-728292674,Accepted + In Progress,2012-04-20 15:17:04+01:00
1-728292674,Queued + Awaiting Assignment,2012-04-20 15:17:24+01:00
1-728292674,Accepted + In Progress,2012-04-20 17:06:59+01:00
1-728292674,Accepted + In Progress,2012-04-20 21:34:50+01:00
1-728292674,Accepted + Wait - User,2012-04-20 21:35:00+01:00
1-728292674,Completed + Resolved,2012-05-08 19:36:02+01:00
1-728292674,Completed + Closed,2012-05-16 00:21:32+01:00
1-728308361,Accepted + In Progress,2012-04-20 10:02:01+01:00
1-728308361,Accepted + In Progress,2012-04-20 10:02:19+01:00
1-728308361,Queued + Awaiting Assignment,2012-04-20 10:02:57+01:00
1-728308361,Accepted + In Progress,2012-04-20 10:45:07+01:00
1-728308361,Accepted + Assigned,2012-04-20 10:45:39+01:00
1-728308361,Accepted + In Progress,2012-04-25 11:44:39+01:00
1-728308361,Accepted + Wait - Implementation,2012-04-25 11:44:44+01:00
1-728308361,Completed + Resolved,2012-05-14 13:57:48+01:00
1-728308361,Completed + Closed,2012-05-22 00:24:30+01:00
1-728309860,Accepted + In Progress,2012-04-20 10:50:59+01:00
1-728309860,Accepted + In Progress,2012-04-20 10:53:55+01:00
1-728309860,Accepted + Wait - User,2012-04-20 11:00:03+01:00
1-728309860,Queued + Awaiting Assignment,2012-04-27 08:40:30+01:00
1-728309860,Queued + Awaiting Assignment,2012-04-27 08:40:31+01:00
1-728309860,Accepted + In Progress,2012-04-27 08:50:53+01:00
1-728309860,Queued + Awaiting Assignment,2012-04-27 10:06:00+01:00
1-728309860,Accepted + In Progress,2012-04-27 10:23:01+01:00
1-728309860,Queued + Awaiting Assignment,2012-04-27 11:00:27+01:00
1-728309860,Accepted + In Progress,2012-04-27 11:04:24+01:00
1-728309860,Accepted + Assigned,2012-04-27 11:07:34+01:00
1-728309860,Accepted + In Progress,2012-04-27 11:41:43+01:00
1-728309860,Accepted + Wait - User,2012-04-27 11:48:22+01:00
1-728309860,Queued + Awaiting Assignment,2012-04-30 12:37:31+01:00
1-728309860,Accepted + In Progress,2012-04-30 14:22:07+01:00
1-728309860,Accepted + Wait - User,2012-04-30 15:06:39+01:00
1-728309860,Accepted + In Progress,2012-04-30 15:31:26+01:00
1-728309860,Accepted + Wait - User,2012-04-30 16:02:30+01:00
1-728309860,Accepted + In Progress,2012-04-30 16:17:34+01:00
1-728309860,Accepted + In Progress,2012-04-30 16:18:30+01:00
1-728309860,Queued + Awaiting Assignment,2012-04-30 16:20:01+01:00
1-728309860,Accepted + In Progress,2012-04-30 16:32:26+01:00
1-728309860,Queued + Awaiting Assignment,2012-04-30 16:38:48+01:00
1-728309860,Accepted + In Progress,2012-05-02 10:11:43+01:00
1-728309860,Queued + Awaiting Assignment,2012-05-02 10:11:50+01:00
1-728309860,Accepted + In Progress,2012-05-02 14:45:52+01:00
1-728309860,Accepted + Wait - User,2012-05-02 14:59:12+01:00
